OBJECTID,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_type_text,SHAPE_Length
1,APS_1a,APS_1a,SydneyTrains,T8,City Circle to Macarthur via Airport,T8 Airport & South Line,2,,00954C,FFFFFF,Rail,0.565990183097559
2,APS_1b,,,,,,,,,,,0.51812792128781
3,APS_1c,APS_1c,SydneyTrains,T8,City Circle to Macarthur via Sydenham,T8 Airport & South Line,2,,00954C,FFFFFF,Rail,0.545101681334265
4,APS_1d,,,,,,,,,,,0.54508529675651
5,APS_1e,APS_1e,SydneyTrains,T8,City Circle to Leppington via Sydenham,T8 Airport & South Line,2,,00954C,FFFFFF,Rail,0.497239419524516
6,APS_1f,APS_1f,SydneyTrains,T8,City Circle to Leppington via Sydenham,T8 Airport & South Line,2,,00954C,FFFFFF,Rail,0.497223034946761
7,APS_2a,APS_2a,SydneyTrains,T8,Macarthur to City Circle via Airport,T8 Airport & South Line,2,,00954C,FFFFFF,Rail,0.565990183097558
8,APS_2b,APS_2b,SydneyTrains,T8,Leppington to City Circle via Airport,T8 Airport & South Line,2,,00954C,FFFFFF,Rail,0.518127921287809
9,APS_2c,,,,,,,,,,,0.545101681334265
10,APS_2d,APS_2d,SydneyTrains,T8,Macarthur to City Circle via Sydenham,T8 Airport & South Line,2,,00954C,FFFFFF,Rail,0.545085296756509
11,APS_2e,,,,,,,,,,,0.49722303494676
12,APS_2f,APS_2f,SydneyTrains,T8,Leppington to City Circle via Sydenham,T8 Airport & South Line,2,,00954C,FFFFFF,Rail,0.497239419524516
13,BMT_1,BMT_1,NSWTrains,BMT,Central to Lithgow and Bathurst,Blue Mountains Line,2,,F99D1C,FFFFFF,Rail,2.41020599208807
14,BMT_2,BMT_2,NSWTrains,BMT,Bathurst and Lithgow to Central,Blue Mountains Line,2,,F99D1C,FFFFFF,Rail,2.41020599208807
15,CCN_1a,CCN_1a,NSWTrains,CCN,Central to Newcastle Interchange via Strathfield,Central Coast & Newcastle Line,2,,D11F2F,FFFFFF,Rail,1.6121296005093
16,CCN_1b,CCN_1b,NSWTrains,CCN,Central to Newcastle Interchange via Gordon,Central Coast & Newcastle Line,2,,D11F2F,FFFFFF,Rail,1.52374630319487
17,CCN_1c,CCN_1c,NSWTrains,CCN,Central to Newcastle Interchange via Strathfield,Central Coast & Newcastle Line,2,,D11F2F,FFFFFF,Rail,1.6121296005093
18,CCN_2a,CCN_2a,NSWTrains,CCN,Newcastle Interchange to Central via Strathfield,Central Coast & Newcastle Line,2,,D11F2F,FFFFFF,Rail,1.6121296005093
19,CCN_2b,CCN_2b,NSWTrains,CCN,Newcastle Interchange to Central via Gordon,Central Coast & Newcastle Line,2,,D11F2F,FFFFFF,Rail,1.52374630319487
20,CMB_1a,CMB_1a,SydneyTrains,T5,Richmond to Leppington,T5 Cumberland Line,2,,C4258F,FFFFFF,Rail,0.67117440081269
21,CMB_1b,CMB_1b,SydneyTrains,T5,Emu Plains to Leppington,T5 Cumberland Line,2,,C4258F,FFFFFF,Rail,0.661818777854063
22,CMB_1c,,,,,,,,,,,0.719034618343686
23,CMB_1d,,,,,,,,,,,0.709678995385059
24,CMB_2a,CMB_2a,SydneyTrains,T5,Leppington to Richmond,T5 Cumberland Line,2,,C4258F,FFFFFF,Rail,0.671174400812689
25,CMB_2b,CMB_2b,SydneyTrains,T5,Leppington to Emu Plains,T5 Cumberland Line,2,,C4258F,FFFFFF,Rail,0.661818777854063
26,CMB_2c,CMB_2c,SydneyTrains,T5,Campbelltown to Richmond,T5 Cumberland Line,2,,C4258F,FFFFFF,Rail,0.719034618343685
27,CMB_2d,,,,,,,,,,,0.709678995385059
28,CTY_NC1,,,,,,,,,,,9.363265900586
